Name,Address,Website,CC Licence Type,Ownership of Content,Type of hub,Education Level,Content Type,Resource Type,Mission,Use
"Lumen Learning","812 SW Washington St, Portland, OR 97205, United States","https://lumenlearning.com/","CC BY 4.0","Institution","Stand-alone","Higher Education","Courses; Textbooks","Pedagogical","Lumen Learning’s mission is to enable unprecedented learning for all students.","As an educator you can request access to course content that can be inserted into an LMS. All OER content is visible as web content. Does not make for easy reuse/remixing."
"Skills Commons","1250 Bellflower Boulevard Psy-100, Long Beach, CA 90840, United States","https://www.skillscommons.org/","CC BY 4.0","Institution","Aggregated","Higher Education","Video; Field Experience; PDF; Textbooks; Images","Pedagogical; Scholarly; Knowledge mobilization tool","SkillsCommons’ mission is to accelerate the democratization of education for all through open educational services and resources enabling individuals, communities, educational institutions, organizations, and businesses to prepare people for successful employment in the 21st Century.","Effective employer engagement , open courseware, and training programs."
"OpenStax","6100 Main St, Houston, TX 77005, United States","https://openstax.org/","CC BY 4.0","Institution","Aggregated","Higher Education","Courses; Textbooks","Pedagogical; Scholarly","As an educational initiative, it's our mission to give every student the tools they need to be successful in the classroom. Through our partnerships with philanthropic foundations and our alliance with other educational resource companies, we're breaking down the most common barriers to learning. Because we believe that a well-educated society profits us all.","Pedagogical (for teachers), Learning (for students)"
"MIT OpenCourseWare","77 Massachusetts Ave, Cambridge, MA 02139, United States","https://ocw.mit.edu/index.htm","CC-BY-NC-SA","Institution","Stand-alone","Higher Education","Video; Courses","Pedagogical; Scholarly","To publish all of their course materials online and make them widely available to everyone","As a student, can access full course content and share stories. As educators, can use the following: Chalk Radio Podcast
OCW Educator Portal
Instructor Insights by Department
Residential Digital Innovations
OCW Highlights for High School
Additional Resources"
"AdvanceHE","First Floor, Napier House, 24 High Holborn, Holborn, London WC1V 6AZ, United Kingdom","https://www.advance-he.ac.uk/","CC-BY-NC-SA","Individuals","Aggregated","General","PDF; Articles","Pedagogical; Scholarly","Providing insight, so you can use the foresight","Users can search and read differnet posts, artiles, blogs, and insights and have access to different programme, events, and fellowships."
"OER Africa","Braamfontein, Johannesburg, 2000","https://www.oerafrica.org","CC BY 4.0","Institution","Aggregated","Higher Education","Video; PDF","Knowledge mobilization tool","OER Africa was established to create dynamic networks of African OER practitioners by sensitizing and connecting like-minded educators – teachers, academics, trainers, and policy makers – to develop, share, and adapt OER to meet the education needs of African societies","It barely contains any OER. Can be used by Teachers who are interested in developing OER"
"Wikimedia Foundation","1 Montgomery St Suite 1600, San Francisco, CA 94104, United States","https://wikimediafoundation.org","CC BY SA 3.0","Individuals","Aggregated","General","Video; PDF; Textbooks; Images","Pedagogical; Scholarly; Knowledge mobilization tool","Wikimedia's mission is to empower and engage people around the world to collect and develop educational content under a free license or in the public domain, and to disseminate it effectively and globally.","General population can access any of the Wikimedia projects to aceess free educational content"
"WikiEducator","M.E.Bldg Lagoon Rd, St George's, Grenada","https://wikieducator.org/Main_Page","CC BY SA 4.0","Individuals","Stand-alone","Higher Education","Courses","Scholarly","WikiEducator's OERu connects learners around the world with defined pathways to education, created by recognised educators and assessed by renowned global institutions. The learning is free and credentialing is very affordable.","WikiEducator is used for planning of education projects linked with the development of free content for e-learning work on building open education resources (OERs) and,
networking on funding proposals developed as free content"
"Olcos","Techno-Z III, Jakob-Haringer-Straße 5, 5020 Salzburg, Austria","https://www.olcos.org","CC BY-NC-SA 2.5","Institution","Aggregated","Higher Education","Courses","Knowledge mobilization tool","Olcos aims at building an (online) information and observation centre for promoting the concept, production and usage of open educational resources, in particular, open digital educational content (ODEC) in Europe.","OLCOS has compiled four collections of external links referring to resources, projects, and institutions in the field of OER."
"CK-12 Foundation","3430 W Bayshore Rd Ste. 101, Palo Alto, CA 94303, United States","https://www.ck12.org/student/","CC BY-NC 3.0","Institution","Stand-alone","Higher Education; K-12","Video; Courses; Tools; Textbooks","Pedagogical; Knowledge mobilization tool","Give equal access to students globally to education in a personalized manner where each student gets to learn in their own way of learning. And to equib both teachers and students with the tools and latest technologies that will help them personalize their journey to good education/teaching certification.","As students they need to create an account and sign up for courses (for free) and get a personalized course for them with supporting docs like videos, textbook, and so on. As educators, teachers can get certified or join the team by becoming a teacher in ck12 through training program provided in the website."
